show,notes,destinationID,google_place,google_place_id,user_entered_place,count,lat,lon,Record ID,timedstamp,Last Modified,Category,Notes,first_name,description
TRUE,,26,Staples Center,ChIJOf2e9bjHwoARt-RVxxwSofc,Staples Center,2,34.0429909,-118.2673753,recPlhtxWodx1dRyW,9/23/2023 11:16 AM,9/25/2023 9:31 PM,Sports Venue,,,
FALSE,Too general,27,Hollywood,ChIJv3lSBAe_woAR5Pq9l2eaevY,Hollywood,2,34.0928092,-118.3286614,recDN8nHJmbFhIv4u,9/23/2023 11:16 AM,9/25/2023 9:32 PM,City/Neighborhood,,,
FALSE,Not in LA County,28,San Diego County,ChIJHWD_IzDr24ARKAeA6yv9DTU,San Diego County,2,33.0933809,-116.6081653,recXHpvtpKJA3yAzs,9/23/2023 11:16 AM,9/25/2023 9:32 PM,City/Neighborhood,,,
TRUE,,29,"University of California, Los Angeles",ChIJZQ9c8IW8woARN0gTXFiTqSU,UCLA,2,34.0699182,-118.4438495,recoQSzr9ojfdSOEZ,9/23/2023 11:17 AM,9/25/2023 9:32 PM,School,,,
FALSE,Not in LA County,30,Irvine Spectrum Center,ChIJqcAVyFfd3IARAv9WXcg2dL0,Irvine Spectrum Center,2,33.6508815,-117.7441118,recneJjXivngZWgYf,9/23/2023 11:20 AM,9/25/2023 9:32 PM,Mall/Shopping Area,,,
TRUE,,31,MaDang Courtyard,ChIJjbpowZq4woARmC0BDdyn15g,MaDang Courtyard,1,34.0630037,-118.3100826,rec1lewBIaCrqTeyV,9/18/2023 2:12 PM,9/25/2023 9:32 PM,Mall/Shopping Area,,,
FALSE,Too general,32,Toluca Lake,ChIJHeib5jO-woARekf-TO20oyE,Toluca Lake,1,34.1501794,-118.3549609,recQKfjAAkpaUkXeA,9/18/2023 2:13 PM,9/25/2023 9:32 PM,City/Neighborhood,,,
TRUE,,33,Regal Edwards Alhambra Renaissance,ChIJi1BOnCfFwoAR2G0pj-9OFRk,Regal Edwards Alhambra Renaissance,1,34.095905,-118.12699,recySZflPg5K8a0MF,9/18/2023 2:13 PM,9/25/2023 9:32 PM,Entertainment Venue,,,
TRUE,,34,Northridge Fashion Center,ChIJX7X1sHSbwoARUkZil0PkMkU,Northridge Fashion Center,1,34.2382889,-118.5550537,recTjlBV692nlG32g,9/18/2023 2:14 PM,9/25/2023 9:33 PM,Mall/Shopping Area,,,
TRUE,,35,The Commons at Calabasas,ChIJL5oNqWuewoARlAib2UV9ew8,The Commons at Calabasas,1,34.153653,-118.6457892,recHpneIsa8I9Enuu,9/18/2023 2:14 PM,9/25/2023 9:33 PM,Mall/Shopping Area,,,
TRUE,,36,Fatima's Grill,ChIJaRhzDbzNwoAR9u3kvWOsqiw,Fatima's Grill,1,33.9440111,-118.1407806,recGfJ8vJAns3pRV1,9/18/2023 7:34 PM,9/25/2023 9:33 PM,Food,,,
FALSE,Too general,37,La Cañada Flintridge,ChIJEcDTpOHpwoAR1lGHwDbx4_U,La Cañada Flintridge,1,34.2068182,-118.2000277,reck6BosU3tQ68fSz,9/23/2023 10:22 AM,9/25/2023 9:33 PM,City/Neighborhood,,,
TRUE,,38,Petersen Automotive Museum,ChIJaRbaXjy5woARERNJSyktTog,Petersen Automotive Museum,1,34.062024,-118.3613631,recCHghafWwRoBvgC,9/23/2023 11:11 AM,9/25/2023 9:33 PM,Museum,,,
TRUE,,39,Pomona College,ChIJRbagpr8xw4ARfqchaG3HTY0,Pomona College,1,34.0977461,-117.711806,reckL01knmnCedmQK,9/23/2023 11:11 AM,9/25/2023 9:33 PM,School,,,
TRUE,,40,Aquarium of the Pacific,ChIJtXzMMjAx3YARll7hgkff2pY,Aquarium of the Pacific,1,33.7619735,-118.1969738,rec8jqDrwrIzfSBbk,9/23/2023 11:12 AM,9/25/2023 9:33 PM,Museum,,,
FALSE,Too general,41,Woodland Hills,ChIJVfY28eyewoARiBIkRG5Qhvo,Woodland Hills,1,34.165357,-118.6089752,recisYNEU0IeiWyrs,9/23/2023 11:12 AM,9/25/2023 9:33 PM,City/Neighborhood,,,
FALSE,Too general,42,El Monte,ChIJ79D2Y6TQwoARTTewpY4BD2s,El Monte,1,34.0686206,-118.0275667,reckHrfAKG8RDonwK,9/23/2023 11:12 AM,9/25/2023 9:33 PM,City/Neighborhood,,,
